LoanID,Age,Income,LoanAmount,CreditScore,MonthsEmployed,NumCreditLines,InterestRate,LoanTerm,DTIRatio,Education,EmploymentType,MaritalStatus,HasMortgage,HasDependents,LoanPurpose,HasCoSigner
648L7QUFVO,57,34830,63072,416,93,3,20.34,60,0.45,Bachelor's,Unemployed,Married,No,No,Home,No
ZY51VR44DK,21,142860,238718,318,35,3,13.06,48,0.36,High School,Part-time,Married,No,Yes,Business,Yes
R8P5YIW07D,19,20236,165086,411,66,4,11.49,60,0.3,Bachelor's,Self-employed,Divorced,No,Yes,Education,No
MZRL2WMB52,23,17142,110469,802,56,3,12.23,12,0.71,High School,Full-time,Married,Yes,Yes,Auto,Yes
2PZTROA9LL,59,60000,117371,305,50,2,3.37,36,0.58,High School,Unemployed,Single,Yes,No,Auto,Yes
T4DU8L04DL,21,142986,142571,674,69,2,19.35,60,0.56,Bachelor's,Self-employed,Divorced,Yes,Yes,Education,No
NAJL3RHHY2,46,59079,122293,585,36,4,20.25,24,0.15,High School,Full-time,Divorced,No,No,Auto,No
NGTYRE2V61,35,118725,169932,750,80,4,7.86,48,0.37,High School,Full-time,Single,Yes,No,Business,No
5KCTUT4OSE,43,130625,17462,303,22,3,17.91,60,0.65,Master's,Self-employed,Married,No,Yes,Business,No
94DS7MC3PV,61,49191,93324,487,51,2,2.65,12,0.25,High School,Unemployed,Married,No,Yes,Home,Yes
TQ5PDEYD4Y,51,46887,119386,730,70,1,17.44,60,0.47,PhD,Self-employed,Married,No,Yes,Auto,No
OV5QU0UMJ0,27,23574,10480,579,111,1,3.46,12,0.86,Master's,Self-employed,Single,No,Yes,Business,No
52V7YG8XKT,53,49335,187180,750,39,3,18.31,60,0.58,PhD,Self-employed,Married,Yes,No,Home,Yes
43Z22DZB7Z,31,143837,193310,658,63,2,14.15,60,0.45,Bachelor's,Self-employed,Divorced,Yes,Yes,Other,Yes
HZFO5XLXGK,48,99977,27219,683,111,4,3.12,24,0.75,Bachelor's,Unemployed,Divorced,Yes,Yes,Other,No
SQ3MA71EVN,65,80770,217916,574,9,3,20.97,36,0.49,High School,Part-time,Single,Yes,No,Home,No
QTEXRYSK63,32,46238,134941,421,1,1,12.32,24,0.5,High School,Part-time,Divorced,No,No,Auto,No
42SRSHU039,25,24742,219541,719,73,3,15.21,12,0.6,PhD,Self-employed,Divorced,No,No,Auto,No
LVWN4GR2Y4,31,56982,223728,692,44,1,17.93,24,0.72,High School,Full-time,Divorced,No,Yes,Home,Yes
VFVJ0MCK4P,40,137937,169513,542,25,2,14.38,12,0.57,High School,Part-time,Divorced,No,Yes,Other,No
29VUH2UAD0,57,109000,17316,453,71,1,3.72,36,0.58,Master's,Full-time,Divorced,No,No,Business,Yes
E0CNQK8RTK,38,59243,217215,618,8,1,23.96,48,0.43,High School,Full-time,Single,Yes,No,Home,No
XEJB8PXRYA,33,35815,166586,351,65,4,14.96,48,0.87,High School,Unemployed,Divorced,No,No,Auto,No
I7Z9O3RG38,62,138569,248333,453,101,2,14.1,24,0.44,High School,Part-time,Married,Yes,Yes,Other,Yes
F6NXXQU3B2,35,90042,159330,659,53,3,4.28,24,0.76,Master's,Self-employed,Divorced,Yes,No,Other,Yes
CL2BS2EEJE,64,93741,232727,747,44,1,24.29,24,0.62,Master's,Full-time,Divorced,Yes,Yes,Other,No
OWJIF9S2PZ,41,114694,106334,319,45,2,14.42,60,0.18,PhD,Full-time,Single,Yes,No,Home,Yes
0NSEXRKRYQ,43,108283,84484,371,58,3,20.56,36,0.49,PhD,Part-time,Single,Yes,No,Home,No
4JQAOGI6A8,42,30200,182868,517,119,3,16.87,24,0.51,Bachelor's,Part-time,Single,Yes,Yes,Auto,Yes
D51F6APQ5Y,62,25274,134289,701,91,1,13.01,24,0.57,Master's,Unemployed,Married,No,No,Business,Yes
O367DPWKN4,58,55299,37681,361,54,1,24.1,36,0.3,Bachelor's,Part-time,Single,No,Yes,Auto,Yes
9VNZFS3GD3,46,100459,174884,578,52,3,22.29,24,0.69,Bachelor's,Full-time,Married,Yes,No,Auto,No
R7HVEB6PCN,32,74554,89606,656,117,2,15.78,12,0.16,Bachelor's,Self-employed,Divorced,Yes,Yes,Business,No
XL0LIO7XMD,62,47383,13109,553,73,3,19.57,12,0.42,Bachelor's,Unemployed,Married,Yes,No,Business,No
UBVMQUAJS3,18,148123,243038,734,105,4,10.29,60,0.71,High School,Self-employed,Divorced,Yes,No,Home,No
Y7KTR7E8CU,42,128414,79538,346,70,3,2.02,24,0.76,PhD,Unemployed,Single,Yes,Yes,Education,No
YH36D287WZ,24,40782,172030,585,74,4,2.51,24,0.64,Bachelor's,Part-time,Married,Yes,No,Home,Yes
BYEI0CTP7P,26,28436,208194,584,86,1,12.71,24,0.58,PhD,Part-time,Married,No,Yes,Other,No
WRIDPTL1IH,41,145047,34875,811,58,2,21.59,36,0.83,Master's,Full-time,Divorced,Yes,Yes,Education,No
NJSFL1EQ3Z,18,93993,132471,481,4,1,17.7,48,0.11,High School,Self-employed,Divorced,Yes,No,Education,Yes
SZSNPTKVFY,61,137295,81022,447,10,1,8.14,12,0.24,Bachelor's,Unemployed,Single,No,Yes,Education,Yes
ICJHINNJXT,25,29782,223983,691,16,1,12.35,24,0.64,Bachelor's,Part-time,Married,Yes,Yes,Education,No
UO61QYA4L7,41,39811,85372,607,70,1,4.02,24,0.22,Master's,Self-employed,Single,Yes,No,Business,No
KM6ZD3M0DG,28,42063,50451,457,82,1,9.8,36,0.17,High School,Unemployed,Divorced,Yes,No,Business,No
SPKAPYGMVS,68,21711,230251,616,7,1,22.46,12,0.82,Bachelor's,Part-time,Divorced,Yes,No,Home,No
3UAK0OGDT1,34,103746,229636,551,79,1,14.38,48,0.28,Bachelor's,Full-time,Divorced,No,No,Other,No
MCCQCLDHKW,25,66282,242287,564,47,3,4.76,24,0.6,High School,Self-employed,Divorced,No,Yes,Other,Yes
OWLIUEFU4I,52,132499,84549,315,48,1,21.42,12,0.47,PhD,Self-employed,Divorced,No,Yes,Other,Yes
XOBT7E4VYB,52,132751,31372,436,85,1,23.5,36,0.15,PhD,Unemployed,Married,Yes,Yes,Education,Yes
GXVEJUYTQ2,50,22773,174149,533,53,4,9.9,60,0.7,High School,Part-time,Divorced,Yes,No,Home,No
M7E1KZL0L8,22,75994,113223,737,47,3,14.46,12,0.86,High School,Full-time,Single,Yes,No,Home,Yes
ULAVO1GRP4,59,146423,175145,372,69,3,21.64,12,0.31,PhD,Self-employed,Divorced,No,Yes,Auto,No
50JOLH9T97,56,106429,80930,394,63,3,11.51,36,0.31,PhD,Self-employed,Single,No,Yes,Business,No
H0HG4OWMLS,58,45015,103293,834,12,2,11.08,60,0.51,Bachelor's,Unemployed,Married,Yes,No,Auto,Yes
AE54LAVDVC,45,57096,148064,339,6,3,21.04,48,0.35,Master's,Unemployed,Married,Yes,Yes,Education,Yes
899BMZ8CH5,24,101452,155664,415,17,3,19.62,12,0.19,Master's,Full-time,Married,No,Yes,Other,Yes
ZR3HIDE7XQ,26,58478,174639,668,28,3,13.11,60,0.88,High School,Unemployed,Single,No,Yes,Home,No
OML8B8OJQB,25,80893,141331,748,68,3,2.25,12,0.83,High School,Part-time,Married,No,Yes,Auto,No
0JN9JTXOWV,29,141484,150284,715,12,3,23.05,12,0.86,PhD,Unemployed,Divorced,No,Yes,Home,Yes
KY4HK9SQAG,51,112897,216797,479,117,2,14.12,60,0.1,PhD,Unemployed,Married,No,Yes,Home,Yes
4W5AUHLU1R,50,146992,52331,696,100,4,22.58,60,0.79,High School,Full-time,Divorced,Yes,No,Home,No
CI61QKR9RM,65,92816,235363,751,60,3,5.79,12,0.28,PhD,Self-employed,Married,Yes,Yes,Home,Yes
LV5MPA24SM,40,60596,158698,842,16,2,10.21,12,0.51,PhD,Part-time,Single,Yes,Yes,Education,No
K23H0BRUJ2,41,148629,111722,769,115,1,19.46,48,0.18,Master's,Unemployed,Married,No,Yes,Auto,No
PNRE399EUV,54,74954,242196,635,59,4,9.05,36,0.4,Bachelor's,Unemployed,Single,Yes,Yes,Education,Yes
TNHNNVH282,52,96409,144564,577,93,1,21.2,36,0.65,Master's,Unemployed,Married,No,Yes,Education,Yes
4066OHTN9A,61,134076,140885,602,6,2,22.89,60,0.84,Master's,Unemployed,Divorced,No,Yes,Other,Yes
F50KOUWNHK,57,97979,146880,497,43,4,12.95,60,0.65,Master's,Full-time,Married,Yes,Yes,Business,No
2E09521FTY,39,91414,104927,811,114,3,3.35,24,0.33,High School,Full-time,Divorced,Yes,No,Education,Yes
1OPNDQAP6K,44,29635,164946,714,9,4,9.55,12,0.31,High School,Full-time,Divorced,No,No,Auto,No
SP0IBH947I,52,78031,140988,578,100,2,2.69,48,0.2,Master's,Part-time,Single,No,Yes,Home,No
1GGX34200H,18,60357,130636,396,14,4,4.22,24,0.76,High School,Part-time,Divorced,Yes,Yes,Other,Yes
MRHHRC7YA8,52,107173,14655,513,86,3,9.56,36,0.36,High School,Full-time,Married,No,No,Home,No
900DYE7RYV,54,64517,92300,842,50,4,2.54,12,0.52,Bachelor's,Full-time,Divorced,No,No,Education,No
GO6UHAQVOW,64,74632,130550,343,13,2,11.95,24,0.86,High School,Part-time,Single,No,Yes,Education,No
72E5CLNNU7,31,105016,75374,522,83,1,20.65,60,0.28,Master's,Full-time,Single,Yes,Yes,Business,Yes
RXQM3LQGM3,20,16229,230359,335,104,1,22.98,24,0.1,High School,Full-time,Single,Yes,Yes,Business,Yes
FLPKETTCVD,18,81192,41548,601,63,3,17.71,48,0.89,Master's,Unemployed,Married,Yes,Yes,Other,No
YWBRAUHH26,22,108033,184054,499,11,1,16.77,60,0.28,Bachelor's,Self-employed,Married,Yes,No,Auto,No
30QPADCLNB,43,89715,189510,380,115,1,18.87,24,0.61,Bachelor's,Full-time,Divorced,No,No,Business,Yes
IZ1U30RHN3,31,142837,24067,375,68,2,11.85,60,0.14,Master's,Full-time,Single,No,No,Auto,No
QCYED60ICM,56,77101,91461,640,31,2,16.82,60,0.84,PhD,Part-time,Divorced,No,Yes,Education,Yes
EOHEYN4I4X,44,73511,164865,566,86,4,2.33,24,0.56,Bachelor's,Part-time,Divorced,No,No,Business,Yes
47H6KY9RBH,26,78940,119094,627,117,4,11.4,36,0.54,PhD,Full-time,Divorced,Yes,Yes,Auto,No
973LRTRZKE,32,110549,89154,520,110,4,24.31,24,0.66,Master's,Unemployed,Divorced,Yes,No,Education,Yes
LRD1ETMYIL,32,29815,130015,528,1,4,21.53,12,0.48,PhD,Self-employed,Single,Yes,No,Home,No
GK31V3VLJQ,43,44236,74159,786,95,3,10.76,48,0.36,High School,Self-employed,Married,No,No,Auto,No
ORH9OYKX2N,59,28301,108810,524,33,3,6.68,36,0.39,Master's,Full-time,Married,No,Yes,Home,No
IQM8AJSZYK,30,58104,145388,449,118,1,23.68,12,0.64,Bachelor's,Self-employed,Divorced,No,Yes,Other,Yes
9YIRALDM3B,68,105572,244549,489,27,4,13.84,12,0.9,High School,Unemployed,Single,Yes,No,Business,Yes
EZRDMRA8OP,49,92500,68622,439,113,4,20.72,60,0.56,Master's,Full-time,Married,No,No,Other,Yes
974G1CCY9R,56,38102,74817,401,97,4,8.49,24,0.67,PhD,Unemployed,Divorced,No,Yes,Other,Yes
RN6RW53ZQE,66,97972,153562,666,112,2,16.98,60,0.8,PhD,Unemployed,Divorced,No,Yes,Education,No
AK528U4ZW4,69,126838,221077,818,35,2,23.15,36,0.37,High School,Self-employed,Single,Yes,Yes,Business,No
05V6LGJBRI,49,133879,219533,841,33,2,8.82,48,0.3,Bachelor's,Self-employed,Divorced,Yes,Yes,Business,No
Y8RHI7QN52,21,110519,245997,406,16,2,22.18,48,0.42,High School,Full-time,Divorced,Yes,Yes,Other,Yes
BH7DDBRX3I,47,116392,33750,508,88,2,23.3,48,0.26,Bachelor's,Full-time,Divorced,No,Yes,Home,No
XISXO34R9Z,54,65186,159843,743,51,4,14.36,36,0.23,Bachelor's,Unemployed,Single,Yes,No,Home,Yes
L4ARSLMVUQ,40,78286,136444,580,6,2,19.22,24,0.51,PhD,Full-time,Divorced,Yes,Yes,Other,Yes
2B753O9XXP,56,141454,142537,669,68,1,18.68,36,0.44,Master's,Full-time,Married,No,Yes,Auto,Yes
PEGQMBD1XA,62,25124,219669,749,14,3,5.46,60,0.48,High School,Part-time,Single,No,No,Auto,No
7ILO78BUL8,32,32363,126320,620,49,1,13.96,60,0.61,PhD,Part-time,Single,Yes,Yes,Auto,Yes
XZNLCRSLA8,60,72904,162983,536,88,1,8.4,48,0.37,PhD,Unemployed,Single,No,No,Home,Yes
PY0C08S9G2,46,15192,152778,734,115,2,22.42,60,0.47,PhD,Part-time,Married,Yes,No,Auto,Yes
D8OU9UW3PY,53,30295,137613,375,108,3,10.78,60,0.15,High School,Part-time,Single,No,Yes,Education,Yes
WAJMTRP02T,30,119334,147716,787,49,3,12.1,12,0.88,Master's,Part-time,Single,Yes,No,Auto,No
7ECS04LJOE,49,134889,86160,592,40,1,13.22,60,0.32,Master's,Full-time,Married,No,Yes,Home,No
I660EVK7XL,24,49119,123531,541,52,2,7.55,60,0.52,High School,Full-time,Single,No,Yes,Business,No
4DJJBLKSF1,68,142277,79391,316,39,4,13.76,48,0.88,Bachelor's,Part-time,Married,Yes,No,Education,No
D4DEUHOODO,39,99269,232619,720,68,2,11.86,24,0.19,Master's,Full-time,Single,No,Yes,Home,No
8T3I0PTR35,45,107954,100080,609,18,4,16.02,48,0.29,High School,Full-time,Single,No,Yes,Home,Yes
8VKPI6WZUY,19,25678,134161,705,63,3,21.18,60,0.2,Bachelor's,Full-time,Divorced,Yes,No,Education,No
BB05YF5VU8,59,17550,227024,795,69,1,4.52,24,0.22,Bachelor's,Self-employed,Married,No,No,Business,Yes
L5KGFM6KRD,62,58724,92125,674,77,2,20.87,24,0.26,High School,Unemployed,Married,Yes,No,Other,Yes
7PJRT499HT,23,83406,139957,424,109,2,11.49,60,0.72,Master's,Unemployed,Divorced,No,No,Home,Yes
4FM4RPFT35,45,54095,34835,770,94,4,15.15,24,0.8,High School,Full-time,Married,No,Yes,Education,No
VIYL3A8ETP,45,148252,210244,695,8,4,15.1,48,0.34,PhD,Full-time,Single,Yes,Yes,Home,Yes
7LZ2WWR8FO,61,52904,223407,407,34,3,22.35,36,0.1,PhD,Unemployed,Divorced,Yes,Yes,Auto,Yes
404GO524QL,61,96822,230960,611,101,1,21.22,12,0.73,Master's,Unemployed,Married,No,No,Home,No
4QNP5FN0KW,37,131836,22699,657,103,2,24.04,48,0.71,PhD,Part-time,Divorced,Yes,No,Business,Yes
5XP11EJ4OW,47,37882,138883,398,59,2,7.92,36,0.69,PhD,Self-employed,Single,Yes,Yes,Home,No
Q9ED7Z9QQ7,28,72464,129521,739,41,3,17.45,24,0.54,High School,Full-time,Single,Yes,No,Other,Yes
SVRI62LA6K,45,15926,93334,777,76,1,5.95,48,0.12,PhD,Part-time,Married,Yes,No,Home,No
0Q0JD83E7X,42,38024,106385,763,50,2,2.12,48,0.62,PhD,Unemployed,Single,Yes,Yes,Business,Yes
WM2RJ85VV9,56,145071,31141,480,8,1,5.42,36,0.19,High School,Unemployed,Married,No,Yes,Auto,Yes
HJJLEQLFR9,50,19296,91875,826,25,1,24.32,60,0.36,Bachelor's,Part-time,Single,No,Yes,Auto,Yes
TGCDEXVJNP,18,146668,215629,517,31,4,5.24,12,0.77,High School,Full-time,Married,No,Yes,Other,No
F859B4PZJ3,44,114043,198339,406,92,4,15.74,48,0.65,Master's,Part-time,Married,No,Yes,Other,Yes
F74TVB524O,69,19459,29148,726,31,4,5.27,24,0.66,High School,Unemployed,Married,Yes,Yes,Other,No
DBHLZGZGEN,30,87178,85001,310,92,2,16.66,12,0.55,High School,Part-time,Married,Yes,No,Education,Yes
RM7KE57X57,58,94033,159468,815,72,4,18.74,48,0.33,Bachelor's,Full-time,Divorced,Yes,No,Home,No
WPLDA8SGTK,20,102312,17975,797,70,4,22.63,36,0.78,Bachelor's,Part-time,Divorced,No,Yes,Other,No
EMQV99WWV5,56,107124,249352,317,24,4,18.13,60,0.86,High School,Full-time,Divorced,No,No,Education,No
AIBB50PEYS,23,84774,120912,749,43,4,23.68,24,0.16,Master's,Self-employed,Divorced,Yes,No,Home,No
7U1KVN9YIY,25,127103,24296,626,46,4,20.05,48,0.32,Bachelor's,Self-employed,Married,No,No,Education,Yes
8FNOFSM2S6,44,101997,151516,708,2,3,18.06,12,0.28,Bachelor's,Self-employed,Divorced,No,No,Other,Yes
UK4OH3F6QS,26,47398,155340,334,88,3,15.39,36,0.75,PhD,Full-time,Married,No,Yes,Other,No
RBKMH2P80V,54,106956,87462,434,3,3,23.19,24,0.25,PhD,Part-time,Single,Yes,No,Education,Yes
G18UJDAD8B,50,59215,43116,381,69,4,6.84,36,0.2,Bachelor's,Full-time,Divorced,No,No,Home,No
H6BAD08LFV,68,17751,152696,811,119,1,17.25,60,0.52,High School,Unemployed,Divorced,No,Yes,Auto,Yes
GY0VKFDZON,59,135003,121490,552,15,2,2.36,36,0.67,Master's,Part-time,Married,No,Yes,Other,No
L2BN792E9M,61,109471,10327,347,112,4,14.48,36,0.51,High School,Self-employed,Single,No,Yes,Home,Yes
Z9KDFOYV3T,41,93059,112026,413,31,1,18.55,24,0.45,PhD,Unemployed,Single,Yes,Yes,Business,No
T94W6YTVZJ,32,125786,239618,338,73,4,7.99,36,0.79,High School,Self-employed,Divorced,Yes,No,Business,No
94VKUFC3MR,49,51396,84501,760,10,4,15.88,24,0.17,PhD,Self-employed,Single,No,No,Auto,Yes
7W5MIEZ2BW,49,124296,120730,506,103,4,2.11,12,0.53,High School,Full-time,Married,No,No,Home,No
57CX89FWKM,41,62578,112054,740,53,4,21.07,36,0.6,PhD,Unemployed,Single,No,No,Home,Yes
M6UXZ003BD,58,117968,156263,583,59,2,17.65,36,0.23,Bachelor's,Unemployed,Married,Yes,No,Other,No
NJEZ1ZGWB3,69,86549,135912,721,114,3,2.77,36,0.52,PhD,Part-time,Divorced,No,Yes,Business,No
MTTYTITC6J,66,69939,193171,672,78,1,9.7,60,0.24,Master's,Full-time,Single,No,Yes,Other,Yes
FSS0W8HEJJ,66,142442,229406,464,60,1,23.12,24,0.41,Bachelor's,Full-time,Married,Yes,Yes,Other,Yes
6Q9J4TEH24,69,142700,25379,494,116,3,4.33,24,0.66,High School,Self-employed,Divorced,Yes,Yes,Home,No
0JKVIXOD1N,29,38153,130923,470,68,2,4.67,48,0.38,High School,Full-time,Single,Yes,Yes,Other,Yes
UNFE1WCC95,56,22082,61460,624,11,1,2.88,48,0.72,Bachelor's,Part-time,Divorced,Yes,Yes,Education,No
4M507PA1AJ,19,91000,60224,730,50,3,11.66,60,0.59,Master's,Full-time,Married,Yes,Yes,Business,No
SA71L2XLZ2,20,101465,179673,366,13,2,24.03,24,0.6,PhD,Full-time,Married,Yes,Yes,Education,No
3WR67VJBBY,66,100328,141500,831,94,3,13.95,36,0.56,PhD,Self-employed,Divorced,No,Yes,Education,Yes
TBMI7SD09H,54,118126,211925,337,89,4,20.76,48,0.61,Bachelor's,Unemployed,Married,No,No,Auto,No
N0WIU7YWOG,66,99582,128774,671,75,4,15.25,48,0.18,High School,Self-employed,Married,No,Yes,Education,No
HOMRI5ZWJN,34,117943,231285,337,81,1,14.66,48,0.9,Bachelor's,Self-employed,Married,Yes,Yes,Education,No
UHK74046UA,66,70357,54481,610,54,2,6.22,24,0.49,Bachelor's,Self-employed,Married,No,Yes,Other,Yes
